configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.6875,8,8,8,16,8,8,50,4175,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,7620,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,13,0.2,6,6,6,7,6,6,50,8172,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,5,0.0,12,1,12,0,12,0,108557,35518,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.8928571428571429,3,10,0.3,28,25,4,21,4,4,28025,35570,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,37547,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,1,3,0.2727272727272727,24,10,3,11,3,3,97791,37452,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,17,0.0,5,5,4,10,4,4,50,40495,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,10,10,0.4805194805194805,43,43,4,43,3,3,2192,6515,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,1.0,9,34,0.5258215962441315,28,26,5,36,5,5,9281,20415,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.375,21,7,6,4,6,4,64514,34190,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,15,43,0.6153846153846154,31,31,8,44,8,8,4487,13487,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.5124378109452736,23,129,0.28256513026052105,201,103,29,155,29,22,17492,38186,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8433179723502304,36,152,0.38085742771684944,217,184,38,242,38,38,4710,106630,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.375,8,8,8,16,8,8,50,4314,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,7683,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,13,0.2,6,6,6,7,6,6,50,7932,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,2,0.0,12,1,12,0,12,0,92230,40103,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.8571428571428571,4,12,0.2,28,24,4,21,4,4,32680,35617,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,39265,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,1,3,0.5454545454545454,24,10,3,11,3,3,97015,37317,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.9021739130434783,20,28,0.5590062111801242,92,74,12,88,12,12,86666,35781,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,14,1.0,5,5,4,10,4,4,33,50030,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,11,11,0.4329004329004329,43,43,4,43,3,3,6221,8159,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,0.9285714285714286,9,30,0.1267605633802817,28,19,5,29,5,5,33608,36165,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.375,21,7,6,4,6,4,60995,34584,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,14,33,0.7692307692307693,31,31,8,44,8,8,19175,24021,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.527363184079602,25,136,0.3106212424849699,201,106,29,156,29,22,15452,38099,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8110599078341014,34,132,0.3938185443668993,217,176,38,242,38,38,3421,101720,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.875,8,8,8,16,8,8,50,4219,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,4,12,0.71875,6,6,6,12,6,6,50,8304,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,14,0.2,6,6,6,9,6,6,101,8044,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.impl.AssembledFullHttpResponse,BRANCH,0.08333333333333333,1,5,0.0,12,1,12,0,12,0,117452,35485,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.http.WebSocketConnectOptionsConverter,BRANCH,0.9285714285714286,6,25,0.3,28,26,4,21,4,4,25846,36339,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.FutureImpl,BRANCH,0.0,0,0,0.0,63,0,24,0,23,0,0,37222,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.launcher.commands.VersionCommand,BRANCH,0.4166666666666667,2,4,0.5454545454545454,24,10,3,11,3,3,115650,37521,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.StringEscapeUtils,BRANCH,0.7717391304347826,18,27,0.5031055900621118,92,60,12,74,12,11,93019,35427,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.WorkerPool,BRANCH,1.0,4,14,0.0,5,5,4,10,4,4,48,38906,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.net.impl.URIDecoder,BRANCH,1.0,11,11,0.5454545454545454,43,43,4,43,3,3,101,5753,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.RecordDecoder,BRANCH,0.8928571428571429,10,35,0.2535211267605634,28,25,5,35,5,5,2143,65436,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.ReflectionUtils,BRANCH,0.3333333333333333,3,5,0.2916666666666667,21,7,6,6,6,4,63545,34356,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.impl.ConversionHelper,BRANCH,1.0,14,33,0.5128205128205128,31,31,8,44,8,8,458,10976,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.impl.DefaultParser,BRANCH,0.4925373134328358,22,122,0.25851703406813625,201,99,29,142,29,21,17158,37764,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.cli.UsageMessageFormatter,BRANCH,0.8709677419354839,43,207,0.3818544366899302,217,189,38,247,38,38,5474,107331,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.dns.impl.decoder.StartOfAuthorityRecord,BRANCH,1.0,7,14,0.875,8,8,8,16,8,8,50,4361,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.ByteArrayMessageCodec,BRANCH,1.0,5,14,0.28125,6,6,6,10,6,6,50,7804,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,io.vertx.core.eventbus.impl.codecs.JsonArrayMessageCodec,BRANCH,1.0,5,14,0.2,6,6,6,9,6,6,50,7880,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
