configuration_id,TARGET_CLASS,criterion,Coverage,Size,Length,MutationScore,Total_Goals,Covered_Goals,Lines,Covered_Lines,Total_Methods,Covered_Methods,Fitness_Evaluations,Total_Time,algorithm,ranking_type,crossover_rate,mutation_rate,search_budget,crossover_function,selection_function
RANK-SP,org.apache.commons.codec.binary.Base32,BRANCH,1.0,24,80,0.46384039900249374,104,104,14,173,14,14,7853,23084,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.BinaryCodec,BRANCH,1.0,12,32,0.7189349112426036,54,54,12,54,12,12,101,7583,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.binary.StringUtils,BRANCH,1.0,25,36,0.717948717948718,39,39,21,39,21,21,305,8310,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.CharEncoding,BRANCH,1.0,1,1,1.0,1,1,1,1,1,1,50,7079,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.DigestUtils,BRANCH,0.900709219858156,56,121,0.4406779661016949,141,127,124,139,124,122,9038,41535,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.HmacUtils,BRANCH,0.8805970149253731,39,81,0.3402061855670103,67,59,58,84,57,57,251,41089,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.MessageDigestAlgorithms,BRANCH,1.0,1,1,0.22972972972972974,1,1,2,1,1,1,50,3745,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.PureJavaCrc32,BRANCH,1.0,12,33,0.17317073170731706,23,23,6,25,6,6,101,5723,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.digest.XXHash32,BRANCH,1.0,6,22,0.30719794344473006,23,23,9,79,9,9,4997,12155,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
RANK-SP,org.apache.commons.codec.language.Caverphone,BRANCH,1.0,4,9,0.25,6,6,5,9,5,5,50,4129,STANDARD_GA,PREFERENCE_SORTING,0.75,0.75,30,SP,RANK
